SR NO.,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,Gravitation_value
29,55 Cancri e,41.0,2567.824,5.96,2004,Super Earth,21.392,0.01544 AU,0.7 days,0.03,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,55.10021139095191
102,CoRoT-7 b,524.0,1010.06374,11.668,2009,Super Earth,18.827199999999998,0.017016 AU,0.9 days,0.0,CoRoT-7,Transit,80.1,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83,27.981313658093004
113,DMPP-1 d,202.0,1064.63,7.981,2019,Super Earth,18.479999999999997,0.0422 AU,2.9 days,< 0.07,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,30.61156669927726
114,DMPP-1 e,202.0,1312.5140000000001,7.981,2019,Super Earth,20.832,0.0651 AU,5.5 days,< 0.07,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,29.69838287742445
116,DMPP-3 A b,160.0,819.9240000000001,9.066,2019,Super Earth,15.791999999999998,0.0662 AU,6.7 days,0.14,DMPP-3 A,Radial Velocity,,,06h06m29.85s,-72d30m45.6s,5138.0,0.87,0.91,32.284206712635466
119,EPIC 201238110 b,522.0,1322.048,15.261,2019,Super Earth,20.944,Unknown,28.2 days,0.0,EPIC 201238110,Transit,,,11h58m49.42s,-03d23m21.8s,,0.41,,29.595028074702793
120,EPIC 201497682 b,831.0,82.628,14.102,2019,Terrestrial,7.750399999999999,Unknown,2.1 days,0.0,EPIC 201497682,Transit,,,11h15m44.79s,+00d29m17.2s,,0.78,,13.507338941018254
121,EPIC 201615463 c,1569.0,629.244,12.074000000000002,2019,Super Earth,13.664,Unknown,3.8 days,0.0,K2-166,Transit,,,12h20m45.19s,+02d16m56.8s,,1.07,,33.09437377827117
122,EPIC 201754305 d,1103.0,343.22400000000005,14.67,2019,Super Earth,11.536,Unknown,2.7 days,0.0,K2-16,Transit,,,11h40m23.34s,+04d33m26.4s,,0.67,,25.325495127590884
123,EPIC 201833600 c,846.0,308.90160000000003,14.717,2019,Terrestrial,11.2,Unknown,4 days,0.0,K2-50,Transit,,,11h17m56.07s,+05d59m18.2s,,0.61,,24.181036002775052
124,EPIC 201841433 b,1442.0,435.386,14.867,2019,Super Earth,12.32,Unknown,4.2 days,0.0,EPIC 201841433,Transit,,,11h40m49.63s,+06d08m05.5s,,0.8,,28.167210253887205
125,EPIC 205950854 c,801.0,721.4060000000001,12.290999999999999,2019,Super Earth,14.671999999999999,Unknown,8.1 days,0.0,K2-168,Transit,89.81,,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83,32.90727379402202
126,EPIC 206024342 b,1219.0,1121.834,13.116,2019,Super Earth,19.04,Unknown,4.5 days,0.0,EPIC 206024342,Transit,,,22h05m06.53s,-14d07m18.0s,,0.93,,30.386837359489913
127,EPIC 206032309 b,529.0,320.978,16.069000000000003,2019,Super Earth,11.312,Unknown,2.9 days,0.0,EPIC 206032309,Transit,,,22h44m57.77s,-13d54m03.3s,,0.22,,24.63129609539894
128,EPIC 206042996 b,1492.0,1036.028,16.743,2019,Super Earth,18.144,Unknown,5.3 days,0.0,EPIC 206042996,Transit,,,22h30m03.26s,-13d36m36.4s,,0.56,,30.90268462266064
129,EPIC 206215704 b,360.0,211.65480000000002,16.172,2019,Terrestrial,10.08,Unknown,2.3 days,0.0,EPIC 206215704,Transit,,,22h20m22.76s,-09d30m34.3s,,0.41,,20.454923001890194
130,EPIC 206317286 b,1035.0,266.952,14.050999999999998,2019,Terrestrial,10.751999999999999,Unknown,1.6 days,0.0,EPIC 206317286,Transit,,,22h30m28.22s,-07d58m20.7s,,0.71,,22.674904087821684
